Title,Link,Download_date
KOMENTÁŘ: Vánoce v neklidné době – Alex Švamberk,https://www.novinky.cz/clanek/komentare-komentar-vanoce-v-neklidne-dobe-alex-svamberk-40502226,2024-12-29
V gruzínském parlamentu byl inaugurován prezidentem kritik Západu Kavelašvili,https://www.novinky.cz/clanek/zahranicni-v-gruzinskem-parlamentu-byl-inaugurovan-prezidentem-kritik-zapadu-kavelasvili-40502507,2024-12-29
"Omylem mu spadl iPhone do darovacího boxu. Už patří Bohu, vzkázal chrám",https://www.novinky.cz/clanek/koktejl-omylem-mu-spadnul-iphone-do-darovaciho-boxu-uz-patri-bohu-vzkazal-chram-40502461,2024-12-29
"Romantická zřícenina. Hrad Krupka měl chránit bohaté doly, růže tu obdivoval Goethe",https://www.novinky.cz/clanek/cestovani-tipy-na-vylety-romanticka-zricenina-hrad-krupka-mel-chranit-bohate-doly-ruze-tu-obdivoval-goethe-40501763,2024-12-29
Gratulovala i legenda. Montreal ohromila česká premiéra v NHL,https://www.sport.cz/clanek/hokej-nhl-gratulovala-i-legenda-montreal-ohromila-ceska-premiera-v-nhl-5042925,2024-12-29
V prestižním časopisu Science zabodovali i výzkumníci Západočeské univerzity,https://www.novinky.cz/clanek/veda-skoly-v-prestiznim-casopisu-science-zabodovali-i-vyzkumnici-zapadoceske-univerzity-40502176,2024-12-29
"Loni smolařem, teď se šampionátu dočkal. Nadějnému bekovi dvacítky pomohl i Gudas",https://www.sport.cz/clanek/hokej-u20-ms-loni-smolarem-ted-se-sampionatu-dockal-nadejnemu-bekovi-dvacitky-pomohl-i-gudas-5042912,2024-12-29
Americká sonda se na Štědrý den dostala historicky nejblíže ke Slunci,https://www.novinky.cz/clanek/veda-skoly-americka-sonda-se-na-stedry-den-dostala-historicky-nejblize-ke-slunci-40502488,2024-12-29
ZMĚNY V ROCE 2025: Důchodová reforma změní příjmy pracujících seniorů,https://www.novinky.cz/clanek/ekonomika-zmeny-v-roce-2025-duchodova-reforma-zmeni-prijmy-pracujicich-senioru-40502411,2024-12-29
Jihokorejské letadlo vyslalo dvě minuty před nepodařeným přistáním nouzové volání,https://www.novinky.cz/clanek/zahranicni-svet-jihokorejske-letadlo-vyslalo-dve-minuty-pred-nepodarenym-pristanim-nouzove-volani-40502505,2024-12-29
Slováky čeká vítání nového roku s hymnou v novém aranžmá,https://www.novinky.cz/clanek/zahranicni-evropa-slovaky-ceka-vitani-noveho-roku-s-hymnou-v-novem-aranzma-40502489,2024-12-29
Mila Kunisová: Je nemožné být dokonalý rodič,https://www.novinky.cz/clanek/kultura-filmy-serialy-mila-kunisova-je-nemozne-byt-dokonaly-rodic-40499248,2024-12-29
"Na Pálavě zimuje vzácný zedníček, jeho focení je hazard se životem",https://www.novinky.cz/clanek/domaci-zpravy-jihomoravsky-kraj-na-palave-zimuje-vzacny-zednicek-jeho-foceni-je-hazard-se-zivotem-40502492,2024-12-29
Šofér a hrabě: Osudy dvou přímých svědků atentátu v Sarajevu,https://www.novinky.cz/clanek/historie-sofer-a-hrabe-osudy-dvou-primych-svedku-atentatu-v-sarajevu-40497454,2024-12-29
Podíl kvalifikovaných učitelů ZŠ se v minulém školním roce mírně snížil,https://www.novinky.cz/clanek/veda-skoly-podil-kvalifikovanych-ucitelu-zs-se-v-minulem-skolnim-roce-mirne-snizil-40501995,2024-12-29
"Ivana Tykač: Do politiky bych nikdy nešla, je nesvobodná. Chci ale přispět ke změně",https://www.novinky.cz/clanek/podcasty-politalk-ivana-tykac-do-politiky-bych-nikdy-nesla-je-nesvobodna-chci-ale-prispet-ke-zmene-40501328,2024-12-29
"Volmanova vila: Klenot, který hostil StarDance",https://www.novinky.cz/clanek/bydleni-volmanova-vila-klenot-ktery-hostil-stardance-40498348,2024-12-29
Odvážný liberecký strážník se pro lidi vrhl do hořícího baru,https://www.novinky.cz/clanek/domaci-zpravy-liberecky-kraj-odvazny-liberecky-straznik-se-pro-lidi-vrhl-do-horiciho-baru-40501833,2024-12-29
